Names,shape,loc,scale
10%_0,3.1629932456552545,-0.037399874840585046,0.2976568828200203
10%_1,3.8123319621925433,-0.05358572482095166,0.3178268748524759
10%_2,5.691787160422065,-0.19381941956782334,0.4581816058001451
10%_3,4.054370586176349,-0.07414921742758608,0.3451895837212809
10%_4,3.26966424260903,-0.04682756514078764,0.3085336606377985
10%_5,3.9911109980029438,-0.08306975935132592,0.34082210373327065
10%_6,4.041852764448839,-0.09734033099517107,0.35901941813417976
10%_7,3.7636269262963107,-0.07466666411765517,0.3304652108799204
10%_8,2.7357107440825863,3.792051797281864e-05,0.2591120983573333
10%_9,4.398554311834986,-0.11084032545591449,0.37907779714276285
20%_0,3.5875255774947736,-0.07169429342869625,0.33490333223201524
20%_1,4.32725198953387,-0.10508682477207812,0.37943313375189286
20%_2,4.307054139973744,-0.12299799902203905,0.38399495145686974
20%_3,3.212934492405907,-0.030214048014204038,0.295577155848874
20%_4,4.091196928879819,-0.11189417940653006,0.37880703058939147
20%_5,3.3563671593379123,-0.062385291753415874,0.3212976983576451
20%_6,3.979439028098895,-0.09257502754113721,0.3604600838887592
20%_7,3.3172695648707027,-0.04982309049707136,0.30843336824874107
30%_0,3.2774055564614617,-0.038645342906363955,0.3050005661929074
30%_1,4.11168420673368,-0.08646381460390852,0.3589509962758354
30%_2,4.272008308863966,-0.11494199988355339,0.37620719567171196
30%_3,3.459310279097566,-0.052760265667187715,0.31306334469033814
30%_4,3.1361653565143937,-0.048845425682645785,0.30957527269017243
30%_5,3.8524978432765007,-0.10010252674691261,0.3693954923744978
30%_6,3.2489619302305233,-0.04720887923580883,0.3135088226493976
40%_0,4.387810661978456,-0.12128460200207544,0.3955673190891489
40%_1,4.4618710831956365,-0.13413169117956122,0.39341203037045436
40%_2,3.6948004281436604,-0.07824252501416465,0.33528461339896737
40%_3,4.742721169459008,-0.16243319259772032,0.42502526511959005
40%_4,3.603916244313995,-0.05424731924887369,0.3181117654338643
40%_5,4.140438394162906,-0.12716972923179812,0.3951753271792806
40%_6,6.11786424934265,-0.23680961170195794,0.5118263814126176
40%_7,4.487199961417125,-0.13286185629109268,0.4027714930199281
50%_0,4.4502883347640525,-0.1398692650194893,0.4012212326415116
50%_1,4.80078209681846,-0.15730270897967347,0.42288934803828915
50%_2,4.423947621263861,-0.12848537518041017,0.3898329506029597
50%_3,3.9161502889525512,-0.08699692418888046,0.3491178945603957
50%_4,4.145974266104729,-0.11085222985871486,0.3766099713882677
50%_5,4.125617629854292,-0.12716384278601875,0.39248345453399447
50%_6,4.583089946747112,-0.15292650540188357,0.41714325472860475
50%_7,2.853727976737402,-0.02835047079359516,0.2865282502198962
50%_8,4.413356112111471,-0.11594272168913844,0.37488794990611557
50%_9,4.01371214181195,-0.08576026726158516,0.3540072908641934
60%_0,3.762312179218312,-0.0918653092168044,0.34176553096139045
60%_1,4.194769245736851,-0.12539952108642663,0.37404409196594135
60%_2,4.655092265815191,-0.15926856743068352,0.4206047877487331
60%_3,3.7490610930528003,-0.07299186097363544,0.336193342695583
60%_4,3.541767688253848,-0.08356547580437382,0.3468479186184223
60%_5,3.3301696637414797,-0.07223017243886297,0.32653654190641623
60%_6,4.895240044286624,-0.1822508968594213,0.45231262094654834
60%_7,4.390437808664663,-0.12921261868690953,0.3906772679226545
60%_8,4.079739053930179,-0.11632047442226129,0.3833361556972937
60%_9,4.096736703426199,-0.11535988618048669,0.37019933052701015
70%_0,4.5441223149846195,-0.12247155344751821,0.3941141496616211
70%_1,3.6690313219581516,-0.06536696104782581,0.3275262304873631
70%_2,4.67629144626907,-0.15409869117908667,0.42176594778706245
70%_3,4.530048239585204,-0.12765497948363666,0.393518924879779
70%_4,3.1072028546035364,-0.0613651876206893,0.33193553274697035
70%_5,4.362759168376821,-0.14220202280991773,0.4101042775538536
70%_6,3.7043382928890316,-0.08209295728496609,0.3429362969726642
70%_7,4.063810256917471,-0.10696190105836642,0.3784712237944821
80%_0,3.811719824930555,-0.07343997125275516,0.3327598121624861
80%_1,4.180583223215847,-0.11010253689896031,0.37081941051219225
80%_2,4.196971352720061,-0.11780033023983509,0.37988743176571516
80%_3,4.626387343609797,-0.13551758958978005,0.405244142592228
80%_4,3.4158942058199084,-0.07335863894783261,0.3335323069293226
80%_5,3.6900529729084024,-0.07314799971934142,0.3366893517209924
80%_6,3.6152381641994644,-0.09253735085625367,0.35339927882609223
80%_7,4.727998270658098,-0.15125608276593439,0.4114476472750489
80%_8,3.7313312563608783,-0.09486686749362797,0.3614303961296563
80%_9,3.7834094526832236,-0.09233121532364508,0.35817308804310055
90%_0,4.914578200817467,-0.1674561453877789,0.4242275194295241
90%_1,3.5373004528030045,-0.0698179405745903,0.33726933777607326
90%_2,4.083931443264612,-0.11782495647308018,0.3873127779333715
90%_3,3.684147947813675,-0.08142015983595777,0.3373227681924814
90%_4,4.582808744919085,-0.12296668763793256,0.38489483913097877
90%_5,5.23240198675408,-0.19411581604483905,0.46266045180545035
90%_6,4.489114436169849,-0.16406116801870427,0.42018797514153194
90%_7,3.5853529347616595,-0.06641507847283262,0.32356399591184565
90%_8,4.221639223421397,-0.12286725516248746,0.3790706786795614
90%_9,4.505917223955405,-0.13890680978181694,0.41159693181822427
100%_0,5.265310431755822,-0.2065475796553663,0.4719220198947559
100%_1,4.6063849182107965,-0.1624744307348907,0.4373107967704395
100%_2,4.645086940937799,-0.15250833882785497,0.4255995878732822
100%_3,4.868523465630562,-0.163608812113295,0.42960253889085637
100%_4,4.654596102672804,-0.14683922108486008,0.40899483059185665
100%_5,5.716842237831083,-0.2099385438827266,0.4757490747070958
100%_6,4.4302016888939,-0.12255181010161308,0.38454525370894127
100%_7,3.555828690013175,-0.06893863004259972,0.33035284190188774
100%_8,4.628430692454427,-0.13294403760083656,0.39251281789274994
